POSTE;DATE;FFM;DIRT
33281001;19720817;3,0;
33281001;19720818;4,1;
33281001;19720819;3,5;
33281001;19720820;2,3;
33281001;19720821;3,0;
33281001;19720822;4,1;
33281001;19720823;4,1;
33281001;19720824;3,3;
33281001;19720825;3,8;
33281001;19720826;2,4;
33281001;19720827;2,1;
33281001;19720828;1,8;
33281001;19720829;2,1;
33281001;19720830;2,0;
33281001;19720831;2,5;
33281001;19720901;1,3;
33281001;19720902;3,1;
33281001;19720903;3,9;
33281001;19720904;2,4;
33281001;19720905;2,6;
33281001;19720906;1,8;
33281001;19720907;2,4;
33281001;19720908;2,3;
33281001;19720909;3,8;
33281001;19720910;4,5;
33281001;19720911;2,3;
33281001;19720912;2,3;
33281001;19720913;2,3;
33281001;19720914;3,6;
33281001;19720915;4,5;
33281001;19720916;3,1;
33281001;19720917;1,9;
33281001;19720918;2,1;
33281001;19720919;2,1;
33281001;19720920;2,4;
33281001;19720921;4,3;
33281001;19720922;4,3;
33281001;19720923;2,3;
33281001;19720924;3,3;
33281001;19720925;3,9;
33281001;19720926;4,3;
33281001;19720927;3,3;
33281001;19720928;2,4;
33281001;19720929;1,4;
33281001;19720930;1,1;
33281001;19721001;1,8;
33281001;19721002;2,9;
33281001;19721003;3,5;
33281001;19721004;3,4;
33281001;19721005;4,4;
33281001;19721006;4,5;
33281001;19721007;2,3;
33281001;19721008;1,8;
33281001;19721009;2,0;
33281001;19721010;3,8;
33281001;19721011;3,4;
33281001;19721012;3,5;
33281001;19721013;2,6;
33281001;19721014;2,4;
33281001;19721015;1,8;
33281001;19721016;1,6;
33281001;19721017;2,6;
33281001;19721018;3,1;
33281001;19721019;2,9;
33281001;19721020;3,1;
33281001;19721021;4,0;
33281001;19721022;2,4;
33281001;19721023;1,8;
33281001;19721024;1,5;
33281001;19721025;2,4;
33281001;19721026;5,0;
33281001;19721027;5,8;
33281001;19721028;4,3;
33281001;19721029;2,1;
33281001;19721030;2,3;
33281001;19721031;3,1;
33281001;19721101;1,6;
33281001;19721102;1,1;
33281001;19721103;1,8;
33281001;19721104;1,4;
33281001;19721105;1,9;
33281001;19721106;2,6;
33281001;19721107;2,4;
33281001;19721108;1,9;
33281001;19721109;1,0;
33281001;19721110;4,1;
33281001;19721111;3,8;
33281001;19721112;3,9;
33281001;19721113;7,6;
33281001;19721114;7,0;
33281001;19721115;2,9;
33281001;19721116;6,0;
33281001;19721117;5,4;
33281001;19721118;3,8;
33281001;19721119;3,9;
33281001;19721120;5,5;
33281001;19721121;5,8;
33281001;19721122;4,3;
33281001;19721123;3,3;
33281001;19721124;2,1;
33281001;19721125;2,0;
33281001;19721126;1,4;
33281001;19721127;2,3;
33281001;19721128;3,4;
33281001;19721129;1,6;
33281001;19721130;3,0;
33281001;19721201;3,4;
33281001;19721202;4,5;
33281001;19721203;3,0;
33281001;19721204;3,5;
33281001;19721205;4,0;
33281001;19721206;3,9;
33281001;19721207;3,5;
33281001;19721208;2,6;
33281001;19721209;3,0;
33281001;19721210;3,0;
33281001;19721211;1,8;
33281001;19721212;1,6;
33281001;19721213;2,4;
33281001;19721214;4,0;
33281001;19721215;3,6;
33281001;19721216;3,6;
33281001;19721217;3,8;
33281001;19721218;2,9;
33281001;19721219;1,1;
33281001;19721220;1,9;
33281001;19721221;1,6;
33281001;19721222;2,0;
33281001;19721223;2,0;
33281001;19721224;2,5;
33281001;19721225;3,6;
33281001;19721226;3,8;
33281001;19721227;4,8;
33281001;19721228;5,9;
33281001;19721229;1,9;
33281001;19721230;1,9;
33281001;19721231;3,1;
33281001;19730101;1,9;
33281001;19730102;0,8;
33281001;19730103;2,4;
33281001;19730104;2,1;
33281001;19730105;2,5;
33281001;19730106;2,4;
33281001;19730107;2,5;
33281001;19730108;0,0;
33281001;19730109;0,4;
33281001;19730110;1,1;
33281001;19730111;3,4;
33281001;19730112;2,6;
33281001;19730113;4,5;
33281001;19730114;4,1;
33281001;19730115;6,1;
33281001;19730116;4,3;
33281001;19730117;4,5;
33281001;19730118;4,3;
33281001;19730119;3,0;
33281001;19730120;4,6;
33281001;19730121;4,5;
33281001;19730122;2,6;
33281001;19730123;3,0;
33281001;19730124;2,8;
33281001;19730125;2,8;
33281001;19730126;1,9;
33281001;19730127;6,6;
33281001;19730128;4,1;
33281001;19730129;1,9;
33281001;19730130;2,3;
33281001;19730131;3,8;
33281001;19730201;2,6;
33281001;19730202;2,8;
33281001;19730203;2,6;
33281001;19730204;2,4;
33281001;19730205;2,0;
33281001;19730206;1,1;
33281001;19730207;1,8;
33281001;19730208;3,1;
33281001;19730209;3,9;
33281001;19730210;3,8;
33281001;19730211;3,9;
33281001;19730212;6,4;
33281001;19730213;5,8;
33281001;19730214;5,5;
33281001;19730215;2,9;
33281001;19730216;5,1;
33281001;19730217;2,8;
33281001;19730218;2,9;
33281001;19730219;3,5;
33281001;19730220;3,1;
33281001;19730221;2,0;
33281001;19730222;4,1;
33281001;19730223;5,9;
33281001;19730224;9,1;
33281001;19730225;5,3;
33281001;19730226;5,8;
33281001;19730227;3,4;
33281001;19730228;2,4;
33281001;19730301;2,9;
33281001;19730302;4,1;
33281001;19730303;1,8;
33281001;19730304;2,1;
33281001;19730305;2,1;
33281001;19730306;3,8;
33281001;19730307;3,0;
33281001;19730308;3,5;
33281001;19730309;2,8;
33281001;19730310;5,6;
33281001;19730311;4,5;
33281001;19730312;3,3;
33281001;19730313;3,9;
33281001;19730314;3,8;
33281001;19730315;4,1;
33281001;19730316;3,0;
33281001;19730317;1,6;
33281001;19730318;2,4;
33281001;19730319;3,0;
